server_time,device_timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,temp_c
2026-04-03T14:57:09.405,40134,0.000427,-0.003662,0.996704,0.054594,-0.055347,-0.106803,1.673411,3.585883,-5.198926,33.75646
2026-04-03T14:57:10.222,41055,0.000916,-0.000732,0.998657,0.2377,-0.055347,-0.106803,3.346818,1.792946,13.86377,33.75347
2026-04-03T14:57:13.755,41874,0.000427,-0.003174,0.999146,0.176664,-0.116382,-0.045768,8.36704,3.585883,-5.198926,33.72951
2026-04-03T14:57:14.522,45409,-0.000549,-0.001221,0.998169,0.115629,-0.055347,-0.045768,1.673411,-3.585863,5.198906,33.75946
2026-04-03T14:57:15.350,46176,0.000427,-0.002197,0.997192,0.115629,-0.055347,-0.106803,11.71385,10.75763,5.198906,33.7924
2026-04-03T14:57:18.621,47115,0.003357,-0.003662,1.00061,0.115629,-0.055347,-0.106803,-5.020219,3.585883,-5.198926,33.78043
2026-04-03T14:57:22.363,50273,-6.1e-05,-0.001221,1.001099,0.115629,0.005688,-0.045768,-3.346812,-5.3788,3.465934,33.76545
2026-04-03T14:57:23.128,54074,0.00238,-0.002686,0.998657,0.115629,0.005688,0.015267,8.36704,10.75763,-1.732982,33.78642
2026-04-03T14:57:23.951,54778,-0.001526,-0.005127,0.999146,0.054594,-0.116382,0.015267,3.346818,1.792946,6.931879,33.78342
2026-04-03T14:57:24.763,55596,0.000916,-0.003174,1.001587,0.176664,-0.055347,-0.045768,-13.38726,-12.55055,-3.465954,33.78342
2026-04-03T14:57:25.600,56416,0.001404,-0.001709,1.001587,0.115629,-0.116382,0.015267,-8.367034,-3.585863,5.198906,33.77743
2026-04-03T14:57:26.300,57236,0.001892,-0.000244,1.001587,0.115629,-0.055347,0.015267,-11.71385,-3.585863,5.198906,33.82535
2026-04-03T14:57:32.043,62959,0.000916,-0.000244,1.004028,0.176664,-0.055347,-0.045768,8.36704,-3.585863,5.198906,33.7954
2026-04-03T14:57:32.869,63688,0.001404,-0.003174,0.999634,0.176664,-0.055347,0.015267,-11.71385,-3.585863,1.732962,33.77743
2026-04-03T14:57:33.618,64508,-6.1e-05,-0.001221,0.999146,0.115629,-0.055347,0.015267,3.346818,-5.3788,17.32971,33.78342
